"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3053","Verify the error message for invalid login credentials","Google Chrome","Thu Nov 27 11:53:30 UTC 2025","passed","Thu Nov 27 11:53:33 UTC 2025","","loginPage.spec.ts","",""
"","3613","Verify login to an application with valid credentials @sanity","Google Chrome","Thu Nov 27 11:53:30 UTC 2025","passed","Thu Nov 27 11:53:33 UTC 2025","","loginPage.spec.ts","",""
